Prefix,Year,Month
EA,1972,(Aug)
EB,1973,(Mar)
EC,1973,(Oct)
ED,1974,(Mar)
EE,1975,(Feb)
EF,1976,(Dec)
EG,1977,(Sep)
EH,1978,(Mar)
EJ,1978,(Oct)
EK,1979,(Apr)
EL,1979,(Oct)
EM,1980,(Jan)
EN,1980,(May)
EP,1980,(Sep)
EQ,1981,(Jan)
ER,1981,(Jun)
ES,1981,(Nov)
ET,1982,(Apr)
EU,1982,(Aug)
EV,1982,(Dec)
EW,1983,(Mar)
EX,1983,(Jul)
EY,1983,(Oct)
EZ,1984,(Feb)
SBA,1984,(Aug)
SBB,1985,(Feb)
SBC,1986,(Jan)
SBD,1987,(Mar)
SBE,1987,(Dec)
SBF,1988,(Jun)
SBG,1988,(Oct)
SBH,1989,(Jan)
SBJ,1989,(May)
SBK,1989,(Sep)
SBL,1989,(Dec)
SBM,1990,(Mar)
SBN,1990,(Jun)
SBP,1990,(Dec)
SBQ,1991,(Apr)
SBR,1991,(Aug)
SBS,Reserved,
SBT,1991,(Dec)
SBU,1992,(Mar)
SBV,1992,(Aug)
SBW,1992,(Dec)
SBX,1993,(Mar)
SBY,1993,(Jun)
SBZ,1993,(Sep)
SCA,1993,(Dec)
SCB,Reserved,
SCC,Reserved,
SCD,Reserved,
SCE,1994,(Mar)
SCF,1994,(Jun)
SCG,1994,(Sep)
SCH,1995,(Jan)
SCJ,1995,(May)
SCK,1995,(Sep)
SCL,1996,(Jan)
SCM,1996,(May)
SCN,1996,(Oct)
SCP,1997,(Mar)
SCQ,1997,(Aug)
SCR,1997,(Dec)
SCS,Reserved,
SCT,Reserved,
SCU,1998,(May)
SCV,1998,(Aug)
SCW,1998,(Dec)
SCX,1999,(Apr)
SCY,1999,(Jul)
SCZ,1999,(Oct)
SDA,1999,(Dec)
SDB,2000,(Mar)
SDC,Reserved,
SDD,2000,(May)
SDE,2000,(Jul)
SDF,2000,(Aug)
SDG,2000,(Oct)
SDH,2000,(Dec)
SDJ,2001,(Feb)
SDK,2001,(Apr)
SDL,2001,(May)
SDM,2001,(Jul)
SDN,2001,(Sep)
SDP,2001,(Nov)
SDQ#,2001,(Dec)
SDR,2002,(Feb)
SDS,2002,(Apr)
SDT,2002,(Jun)
SDU,2002,(Jul)
SDV,2002,(Sep)
SDW,2002,(Nov)
SDX,2003,(Jan)
SDY,2003,(Mar)
SDZ,2003,(Apr)
SFA,2003,(May)
SFB,2003,(Jul)
SFC,2003,(Aug)
SFD,2003,(Oct)
SFE,2003,(Nov)
SFF,2003,(Dec)
SFG,2004,(Jan)
SFH,2004,(Feb)
SFJ,2004,(Apr)
SFK,2004,(May)
SFL,2004,(Jun)
SFM,2004,(Jul)
SFN,2004,(Sep)
SFP,2004,(Oct)
SFQ,2004,(Nov)
SFR,2004,(Dec)
SFS,2005,(Jan)
SFT,2005,(Mar)
SFU,2005,(Mar)
SFV,2005,(Apr)
SFW,2005,(May)
SFX,2005,(Jul)
SFY,2005,(Jul)
SFZ,2005,(Sep)
SGA,2005,(Sep)
SGB,2005,(Oct)
SGC,2005,(Dec)
SGD,2005,(Dec)
SGE,2006,(Jan)
SGF,2006,(Feb)
SGG,2006,(Mar)
SGH,2006,(Apr)
SGJ,2006,(May)
SGK,2006,(Jun)
SGL,2006,(Jul)
SGM,2006,(Aug)
SGN,2006,(Sep)
SGP,2006,(Oct)
SGQ,2006,(Nov)
SGR,2006,(Dec)
SGS,2007,(Jan)
SGT,2007,(Feb)
SGU,2007,(Mar)
SGV,2007,(Apr)
SGW ,2007,(May)
SGX,2007,(Jun)
SGY,2007,(Jul)
SGZ,2007,(Sep)
SJA,2007,(Oct)
SJB,2007,(Nov)
SJC,2007,(Dec)
SJD,2008,(Jan)
SJE,2008,(Feb)
SJF,2008,(Mar)
SJG,2008,(May)
SJH,2008,(Jun)
SJJ,2008,(Jul)
SJK,2008,(Aug)
SJL,2008,(Sep)
SJM,2008,(Oct)
SJN,2008,(Nov)
SJP,2009,(Jan)
SJQ,2009,(Feb)
SJR,2009,(Mar)
SJS,2009,(May)
SJT,2009,(Jun)
SJU,2009,(Aug)
SJV,2009,(Oct)
SJW,2009,(Dec)
SJX,2010,(Jan)
SJY,2010,(Mar)
SJZ,2010,(Jun)
SKA,2010,(Oct)
SKB,2011,(Jan)
SKC,2011,(Apr)
SKD,2011,(Jul)
SKE,2011,(Oct)
SKF,2012,(Feb)
SKG,2012,(May)
SKH,2012,(Aug)
SKJ,2012,(Nov)
SKK,2013,(Feb)
SKL,2013,(Jun)
SKM,2013,(Sep)
SKN,2014,(Jan)
SKP,2014,(May)
SKQ,2014,(Aug)
SKR,2014,(Oct)
SKS,2015,(Jan)
SKT,2015,(Mar)
SKU,2015,(May)
SKV,2015,(Jul)
SKW,2015,(Sep)
SKX,2015,(Oct)
SKZ,2015,(Nov)
SLA,2015,(Dec)
SLB,2016,(Feb)
SLC,2016,(Mar)
SLD,2016,(Apr)
SLE,2016,(May)
SLF,2016,(Jul)
SLG,2016,(Aug)
SLH,2016,(Sep)
SLJ,2016,(Oct)
SLK,2016,(Nov)
SLL,2017,(Jan)
SLM,2017,(Feb)
SLN,2017,(Mar)
SLP,2017,(Apr)
SLQ,2017,(May)
SLR,2017,(Jun)
SLS,2017,(Jul)
SLT,2017,(Aug)
SLU,2017,(Oct)
SLV,2017,(Nov)
SLW,2017,(Dec)
SLX,2018,(Jan)
SLZ,2018,(Feb)
SMA,2018,(Apr)
SMC,2018,(May)
SMD,2018,(Jun)
SME,2018,(Jul)
SMF,2018,(Aug)
SMG,2018,(Oct)
SMH,2018,(Nov)
SMJ,2019,(Jan)
SMK,2019,(Feb)
SML,2019,(Mar)
SMM,2019,(Apr)
SMN,2019,(Jun)
SMP,2019,(Jul)
SMQ,2019,(Sep)
SMR,2019,(Nov)
SMS,2019,(Dec)
SMT,2020,(Jan)
SMU,2020,(Apr)
SMV,2020,(Aug)
SMW,2020,(Sep)
SMX,2020,(Nov)
SMY,2020,(Dec)
SMZ,2021,(Feb)
SNA,2021,(Apr)
SNB,2021,(May)
SNC,2021,(Jul)
SND,2021,(Sep)
SNE,2021,(Nov)
